ISSN,Título,Área de Avaliação,Classificação
2157-6904,ACM TRANSACTIONS ON INTELLIGENT SYSTEMS AND TECHNOLOGY,CIÊNCIA DA COMPUTAÇÃO,A2
0164-0925,ACM TRANSACTIONS ON PROGRAMMING LANGUAGES AND SYSTEMS,CIÊNCIA DA COMPUTAÇÃO,A2
1049-331X,ACM TRANSACTIONS ON SOFTWARE ENGINEERING AND METHODOLOGY,CIÊNCIA DA COMPUTAÇÃO,A2
1570-8705,AD HOC NETWORKS,CIÊNCIA DA COMPUTAÇÃO,A2
1862-5347,ADVANCES IN DATA ANALYSIS AND CLASSIFICATION,CIÊNCIA DA COMPUTAÇÃO,A2
0965-9978,ADVANCES IN ENGINEERING SOFTWARE,CIÊNCIA DA COMPUTAÇÃO,A2
0965-9978,ADVANCES IN ENGINEERING SOFTWARE,CIÊNCIA DA COMPUTAÇÃO,A2
0178-4617,ALGORITHMICA,CIÊNCIA DA COMPUTAÇÃO,A2
1432-0541,ALGORITHMICA (NEW YORK. INTERNET),CIÊNCIA DA COMPUTAÇÃO,A2
0307-904X,APPLIED MATHEMATICAL MODELLING,CIÊNCIA DA COMPUTAÇÃO,A2
0168-9274,APPLIED NUMERICAL MATHEMATICS,CIÊNCIA DA COMPUTAÇÃO,A2
0933-3657,ARTIFICIAL INTELLIGENCE IN MEDICINE (PRINT),CIÊNCIA DA COMPUTAÇÃO,A2
0269-2821,ARTIFICIAL INTELLIGENCE REVIEW,CIÊNCIA DA COMPUTAÇÃO,A2
1573-7462,ARTIFICIAL INTELLIGENCE REVIEW (DORDRECHT. ONLINE),CIÊNCIA DA COMPUTAÇÃO,A2
1573-7454,AUTONOMOUS AGENTS AND MULTI-AGENT SYSTEMS (DORDRECHT. ONLINE),CIÊNCIA DA COMPUTAÇÃO,A2
0144-929X,BEHAVIOUR & INFORMATION TECHNOLOGY (PRINT),CIÊNCIA DA COMPUTAÇÃO,A2
1756-0381,BIODATA MINING,CIÊNCIA DA COMPUTAÇÃO,A2
0303-2647,BIOSYSTEMS (AMSTERDAM. PRINT),CIÊNCIA DA COMPUTAÇÃO,A2
1472-6947,BMC MEDICAL INFORMATICS AND DECISION MAKING (ONLINE),CIÊNCIA DA COMPUTAÇÃO,A2
1866-9956,COGNITIVE COMPUTATION (PRINT),CIÊNCIA DA COMPUTAÇÃO,A2
1476-9271,COMPUTATIONAL BIOLOGY AND CHEMISTRY (PRINT),CIÊNCIA DA COMPUTAÇÃO,A2
0925-7721,COMPUTATIONAL GEOMETRY,CIÊNCIA DA COMPUTAÇÃO,A2
0891-2017,COMPUTATIONAL LINGUISTICS,CIÊNCIA DA COMPUTAÇÃO,A2
1530-9312,COMPUTATIONAL LINGUISTICS - ASSOCIATION FOR COMPUTATIONAL LINGUISTICS (ONLINE),CIÊNCIA DA COMPUTAÇÃO,A2
0891-2017,COMPUTATIONAL LINGUISTICS (PRINT),CIÊNCIA DA COMPUTAÇÃO,A2
0926-6003,COMPUTATIONAL OPTIMIZATION AND APPLICATIONS,CIÊNCIA DA COMPUTAÇÃO,A2
1573-2894,COMPUTATIONAL OPTIMIZATION AND APPLICATIONS (DORDRECHT. ONLINE),CIÊNCIA DA COMPUTAÇÃO,A2
0167-9473,COMPUTATIONAL STATISTICS & DATA ANALYSIS (PRINT),CIÊNCIA DA COMPUTAÇÃO,A2
0167-8396,COMPUTER AIDED GEOMETRIC DESIGN,CIÊNCIA DA COMPUTAÇÃO,A2
0140-3664,COMPUTER COMMUNICATIONS,CIÊNCIA DA COMPUTAÇÃO,A2
1460-2067,COMPUTER JOURNAL (ONLINE),CIÊNCIA DA COMPUTAÇÃO,A2
0010-4620,COMPUTER JOURNAL (PRINT),CIÊNCIA DA COMPUTAÇÃO,A2
0169-2607,COMPUTER METHODS AND PROGRAMS IN BIOMEDICINE (PRINT),CIÊNCIA DA COMPUTAÇÃO,A2
1526-1506,COMPUTER MODELING IN ENGINEERING & SCIENCES,CIÊNCIA DA COMPUTAÇÃO,A2
1526-1492,COMPUTER MODELING IN ENGINEERING & SCIENCES,CIÊNCIA DA COMPUTAÇÃO,A2
0885-2308,COMPUTER SPEECH & LANGUAGE (PRINT),CIÊNCIA DA COMPUTAÇÃO,A2
0925-9724,COMPUTER SUPPORTED COOPERATIVE WORK,CIÊNCIA DA COMPUTAÇÃO,A2
0895-6111,COMPUTERIZED MEDICAL IMAGING AND GRAPHICS,CIÊNCIA DA COMPUTAÇÃO,A2
0045-7930,COMPUTERS & FLUIDS,CIÊNCIA DA COMPUTAÇÃO,A2
0097-8493,COMPUTERS & GRAPHICS,CIÊNCIA DA COMPUTAÇÃO,A2
0167-4048,COMPUTERS & SECURITY,CIÊNCIA DA COMPUTAÇÃO,A2
0168-1699,COMPUTERS AND ELECTRONICS IN AGRICULTURE,CIÊNCIA DA COMPUTAÇÃO,A2
0010-4825,COMPUTERS IN BIOLOGY AND MEDICINE,CIÊNCIA DA COMPUTAÇÃO,A2
0166-3615,COMPUTERS IN INDUSTRY,CIÊNCIA DA COMPUTAÇÃO,A2
1521-9615,COMPUTING IN SCIENCE & ENGINEERING (PRINT),CIÊNCIA DA COMPUTAÇÃO,A2
1532-0626,CONCURRENCY AND COMPUTATION,CIÊNCIA DA COMPUTAÇÃO,A2
1096-9128,CONCURRENCY AND COMPUTATION: PRACTICE & EXPERIENCE,CIÊNCIA DA COMPUTAÇÃO,A2
1532-0634,CONCURRENY AND COMPUTATION (ONLINE),CIÊNCIA DA COMPUTAÇÃO,A2
0169-023X,DATA & KNOWLEDGE ENGINEERING,CIÊNCIA DA COMPUTAÇÃO,A2
0166-218X,DISCRETE APPLIED MATHEMATICS,CIÊNCIA DA COMPUTAÇÃO,A2
0012-365X,DISCRETE MATHEMATICS,CIÊNCIA DA COMPUTAÇÃO,A2
1574-9541,ECOLOGICAL INFORMATICS (PRINT),CIÊNCIA DA COMPUTAÇÃO,A2
0952-1976,ENGINEERING APPLICATIONS OF ARTIFICIAL INTELLIGENCE,CIÊNCIA DA COMPUTAÇÃO,A2
1751-7575,ENTERPRISE INFORMATION SYSTEMS (PRINT),CIÊNCIA DA COMPUTAÇÃO,A2
1396-0466,FIRST MONDAY (ONLINE),CIÊNCIA DA COMPUTAÇÃO,A2
1615-3375,FOUNDATIONS OF COMPUTATIONAL MATHEMATICS (PRINT),CIÊNCIA DA COMPUTAÇÃO,A2
0169-2968,FUNDAMENTA INFORMATICAE,CIÊNCIA DA COMPUTAÇÃO,A2
0167-739X,FUTURE GENERATION COMPUTER SYSTEMS,CIÊNCIA DA COMPUTAÇÃO,A2
1524-0703,GRAPHICAL MODELS (PRINT),CIÊNCIA DA COMPUTAÇÃO,A2
0272-1716,IEEE COMPUTER GRAPHICS AND APPLICATIONS,CIÊNCIA DA COMPUTAÇÃO,A2
1545-598X,IEEE GEOSCIENCE AND REMOTE SENSING LETTERS (PRINT),CIÊNCIA DA COMPUTAÇÃO,A2
1932-4553,IEEE JOURNAL OF SELECTED TOPICS IN SIGNAL PROCESSING,CIÊNCIA DA COMPUTAÇÃO,A2
1070-986X,IEEE MULTIMEDIA,CIÊNCIA DA COMPUTAÇÃO,A2
1070-9932,IEEE ROBOTICS & AUTOMATION MAGAZINE,CIÊNCIA DA COMPUTAÇÃO,A2
